,,,,,,,trackDescription,,,,,Coordinate,,
ID,identifier,TrackName,fIlePath,valley,images,videoPath,generalDesc,instrumentDesc,MusicianDesc,lyrictranslit,lyrictranslation,Latitude,Longitude,oneLineDescription
1,Vol01-Tr03,Kuidum Chok,/audio/Vol01-Tr03.ogg,1,"/images/Performer.png , /images/Instrument-Komuz.png",/video/Disk01-Excerpt01.mp4,/decriptions/GeneralDescription1-3.txt,/decriptions/InstrumentsDescription1-3.txt,/decriptions/MusiciansBio1-3.txt,/lyrics/LyricsTransliteration1-3.txt,https://drive.google.com/open?id=1JxyOWxawJDP09dP6e3rlx2yB5Ty6cY8x,,,"KUIDUM CHOK (I Burn, I Smoulder like Charcoal); Composero Atai Ogonbaev (1900-1949); Text: Atai Ogonbaev; Performer: Zainidin lmanaliev, vocal, komuz"
2,Vol04-Tr02,"Galmadi, Galmadi",https://islamicgarden.ualberta.ca/flask/assets/Vol04-Tr02.ogg,1,/images/Band-performers.jpg,/video/video-excerpt.mp4,/decriptions/GeneralDescription4-2.txt,,/decriptions/MusiciansBio4-2.txt,,https://drive.google.com/open?id=1MqGRkr_Gu-QZvbD2h4qeqTlfOJS3ovoF,,,"Galmadi, Galmadi (He didn’t come); Text and music: unattributed; Dilbar Bekturdieva, garmon, dayra, qayraq, vocal; Komila Mattieva, tar and vocal; Gozal Muminova, dayra."
3,Vol01-Tr11,Gul,https://islamicgarden.ualberta.ca/flask/assets/Vol01-Tr11.ogg,2,"/images/Picture-3.png , /images/Picture-4.png",https://drive.google.com/open?id=1Ete_3XedqReaZdN8qj1q7Y3ulINw_o4O,/decriptions/GeneralDescription1-11.txt,/decriptions/InstrumentsDescription1-11.txt,/decriptions/MusiciansBio1-11.txt,/lyrics/LyricsTransliteration1-11.txt,https://drive.google.com/open?id=1fa5JDX5BLZNckrKYP7NCzniRDfzXq3-9,,,GuL (Flower)
4,Vol04-Tr17,Noleydi,https://islamicgarden.ualberta.ca/flask/assets/Vol04-Tr17.ogg,2,"/images/Performer01.jpg , /images/performer02.png",https://drive.google.com/open?id=1MQ3iCWambYA1HHweeJglyJWeUJ7enWh8,/decriptions/GeneralDescription4-17.txt,,/decriptions/MusiciansBio4-17.txt,,https://drive.google.com/open?id=1mQ27WtSBftb58D3MA5dgRSTt0ro81FCH,,,"Noleydi (What if); Text: unattributed folksong, Ghazal by Seyyid Ezim Shirvani (1835–1888); Music: unattributed; Fargana Qasimova, vocal; accompanied by Rafael Asgarov, balaban; Rauf Islamov, kamancha; Ali Asgar Mammadov, tar; Natiq Shirinov, percussion"
5,Vol05-Tr02,Ay Pari,https://islamicgarden.ualberta.ca/flask/assets/Vol05-Tr02.ogg,3,"/images/Badakhshan-Ensemble.png , /images/Singer-and-Dancer.png",/video/Disk05-Excerpt01.mp4,/decriptions/GeneralDescription5-2.txt,,,,https://drive.google.com/open?id=1jpBy8ADyeY28KbWYV8rIoI2oBXhOHj7A,,,Ay Pari (Oh Fairy)
6,Vol06-Tr02-2,Maye,https://islamicgarden.ualberta.ca/flask/assets/Vol06-Tr02-2.ogg,3,"https://drive.google.com/open?id=0B50GceJl2w8MTU5vRU9UZEZJX0E, https://drive.google.com/open?id=0B50GceJl2w8MdWJPc1lMTUI1elE, https://drive.google.com/open?id=0B50GceJl2w8MMXc4dkh2QUdGOFE",https://drive.google.com/open?id=1RxGGcv8xPvgYf-mMzWNbiYxBKEZa8exw,/decriptions/GeneralDescription6-2.txt,/decriptions/InstrumentsDescription6-2.txt,/decriptions/MusiciansBio6-2.txt,,,,,Maye - Maye is a generic compositional form that establishes the modal character of a mugham.
7,Vol06-Tr02-1,Maye,https://islamicgarden.ualberta.ca/flask/assets/Vol06-Tr02-1.ogg,3,"https://drive.google.com/open?id=0B50GceJl2w8MTU5vRU9UZEZJX0E, https://drive.google.com/open?id=0B50GceJl2w8MdWJPc1lMTUI1elE, https://drive.google.com/open?id=0B50GceJl2w8MMXc4dkh2QUdGOFE",,/decriptions/GeneralDescription6-2.txt,/decriptions/InstrumentsDescription6-2.txt,/decriptions/MusiciansBio6-2.txt,,,,,Maye - Maye is a generic compositional form that establishes the modal character of a mugham.
8,Vol01-Tr08,Attila Khan,https://islamicgarden.ualberta.ca/flask/assets/Vol01-Tr08.ogg,4,"/images/Komuz-playing-style.png ,  /images/Komuz-Performer.png",https://drive.google.com/open?id=1LVro9tMIQsy9E2DnvndEH5nJ51edg8At,/decriptions/GeneralDescription1-8.txt,,,,,,,"ATTILA KHAN; Composer: Nurak Ahdrakhmanov (b. 1947); Performer: Nurak Abdrakhmanov, Komuz"
9,Vol05-Tr03,Zohidi Pokizasirisht,https://islamicgarden.ualberta.ca/flask/assets/Vol05-Tr03.ogg,4,"/images/Setar-Instrument.jpg , /images/Setar-Performer.png",https://drive.google.com/open?id=1fZqypCvds20BpFj5arqIf7hDobQghNhq,/decriptions/GeneralDescription5-3.txt,/decriptions/InstrumentsDescription5-3.txt,,,https://drive.google.com/open?id=1-5W-qQA0b8-3GwX0hoL7ThJwwGi9MYb0,,,Zohidi Pokizasirisht (Pious Ascetic)
